target_video_path,video,min_diff,min_target_frame,min_other_frame,max_diff,range,avg_diff,percent_close_under_threshold,comparison_seconds
scottkress_halloween_dl.mp4,scottkress_halloween_dl.mp4,0.0,0,0,0.0131302669,0.0131302669,0.0043550975,1.0,0.1491258144
scottkress_halloween_dl.mp4,scottkress_doordash_dl.mp4,0.0013018396,19,6,0.0431528534,0.0418510138,0.0112154413,1.0,0.1182050705
scottkress_halloween_dl.mp4,scottkress_wheelgame_dl.mp4,0.0018013161,8,60,0.0481798067,0.0463784906,0.012423185,1.0,0.3184373379
scottkress_halloween_dl.mp4,scottkress_rio_dl.mp4,0.0019730214,54,18,0.0377248019,0.0357517805,0.0102306088,1.0,0.152520895
scottkress_halloween_dl.mp4,colecharisma_stouffers_dl.mp4,0.0028668329,50,10,0.0836332768,0.0807664439,0.0339872617,1.0,0.144090414
scottkress_halloween_dl.mp4,ashley_3am_dl.mp4,0.0031184477,11,30,0.0452074838,0.0420890361,0.0151840642,1.0,0.1580667496
scottkress_halloween_dl.mp4,colecharisma_source_dl.mp4,0.0031607269,53,49,0.03639992,0.0332391931,0.0152170249,1.0,0.1630702019
scottkress_halloween_dl.mp4,scottkress_wittiest_dl.mp4,0.0037681327,36,15,0.0328056028,0.0290374701,0.0142773602,1.0,0.0434949398
scottkress_halloween_dl.mp4,colecharisma_drivingtrend_dl.mp4,0.0057361603,54,9,0.1959048208,0.1901686605,0.0648514413,0.9017857143,0.0272283554
scottkress_halloween_dl.mp4,scottkress_247_dl.mp4,0.0069248021,40,10,0.0454407866,0.0385159845,0.020915944,1.0,0.0305564404
scottkress_halloween_dl.mp4,scottkress_source_dl.mp4,0.0077763171,11,6,0.1157404529,0.1079641358,0.027309787,1.0,0.1268987656
scottkress_halloween_dl.mp4,ashley_source_dl.mp4,0.0090114012,53,20,0.0397517248,0.0307403236,0.0225818165,1.0,0.1386864185
scottkress_halloween_dl.mp4,ashley_newnamimatcha_dl.mp4,0.0108581627,12,31,0.0610042824,0.0501461197,0.0312307519,1.0,0.306012392
scottkress_halloween_dl.mp4,colecharisma_husbandcarry_dl.mp4,0.0125902416,50,0,0.0598213709,0.0472311293,0.0343919187,1.0,0.0330774784
scottkress_halloween_dl.mp4,colecharisma_oldnavy_dl.mp4,0.0184717656,15,23,0.083820586,0.0653488204,0.0463560208,1.0,0.0698976517
scottkress_halloween_dl.mp4,colecharisma_pool_dl.mp4,0.0211168212,11,15,0.0828417664,0.0617249452,0.0450482784,1.0,0.0905537605
