target_video_path,video,min_diff,min_target_frame,min_other_frame,max_diff,range,avg_diff,percent_close_under_8,comparison_seconds
scottkress_halloween_dl.mp4,scottkress_halloween_dl.mp4,0,0,0,16,16,2.867903316469927,0.8819561551433389,0.113247
scottkress_halloween_dl.mp4,scottkress_doordash_dl.mp4,10,316,22,28,18,14.824058459808882,0.0,0.092559
scottkress_halloween_dl.mp4,scottkress_halloween_ig.mp4,10,339,45,26,16,16.404721753794266,0.0,0.189649
scottkress_halloween_dl.mp4,christxiee_source_ig.mp4,12,172,54,28,16,19.804384485666105,0.0,0.227143
scottkress_halloween_dl.mp4,scottkress_halloween_yt.mp4,12,148,30,26,14,16.890387858347385,0.0,0.124565
scottkress_halloween_dl.mp4,scottkress_rio_dl.mp4,14,56,20,30,16,21.371557054525013,0.0,0.117585
scottkress_halloween_dl.mp4,scottkress_wheelgame_dl.mp4,14,1173,16,28,14,20.77009555930298,0.0,0.236187
scottkress_halloween_dl.mp4,christxiee_covergirl_ig.mp4,14,152,11,26,12,19.662731871838112,0.0,0.276265
scottkress_halloween_dl.mp4,scottkress_roblox_ig.mp4,14,63,42,28,14,21.49072512647555,0.0,0.163131
scottkress_halloween_dl.mp4,scottkress_wheel_ig.mp4,14,1173,27,28,14,21.069139966273188,0.0,0.392801
scottkress_halloween_dl.mp4,techtoday_freeram_ig.mp4,14,740,23,32,18,22.441821247892076,0.0,0.111208
scottkress_halloween_dl.mp4,techtoday_galaxys26_02_26_ig.mp4,14,12,66,24,10,20.04272062956717,0.0,0.412319
scottkress_halloween_dl.mp4,nyadollie_tutorial11_11_yt.mp4,14,170,7,32,18,26.555368184373243,0.0,0.051538
scottkress_halloween_dl.mp4,scottkress_wheelgame_yt.mp4,14,92,17,28,14,21.581787521079256,0.0,0.243529
scottkress_halloween_dl.mp4,techtoday_galaxys26_02_26_yt.mp4,14,773,5,26,12,21.477234401349072,0.0,0.249728
scottkress_halloween_dl.mp4,colecharisma_oldnavy_dl.mp4,16,64,5,30,14,23.309724564362,0.0,0.054044
scottkress_halloween_dl.mp4,scottkress_wittiest_dl.mp4,16,772,2,30,14,23.52107925801012,0.0,0.038028
scottkress_halloween_dl.mp4,ashley_3am_ig.mp4,16,306,25,28,12,22.373243395165822,0.0,0.205195
scottkress_halloween_dl.mp4,christxiee_forgetkylie_ig.mp4,16,54,117,26,10,19.781899943788645,0.0,0.669548
scottkress_halloween_dl.mp4,christxiee_hourglass_ig.mp4,16,54,16,26,10,21.515458122540753,0.0,0.260194
scottkress_halloween_dl.mp4,christxiee_rhode_ig.mp4,16,1170,89,26,10,21.030916245081507,0.0,0.467825
scottkress_halloween_dl.mp4,christxiee_valentines_ig.mp4,16,1512,92,26,10,21.539066891512086,0.0,0.426298
scottkress_halloween_dl.mp4,colecharisma_drivingtrend_ig.mp4,16,22,8,30,14,23.10399100618325,0.0,0.050534
scottkress_halloween_dl.mp4,colecharisma_easterseals_ig.mp4,16,313,12,30,14,23.644744238336145,0.0,0.146632
scottkress_halloween_dl.mp4,colecharisma_source_ig.mp4,16,639,9,28,12,22.60370994940978,0.0,0.210768
scottkress_halloween_dl.mp4,nyadollie_supergoop_ig.mp4,16,776,53,28,12,22.860033726812816,0.0,0.207757
scottkress_halloween_dl.mp4,scottkress_doordash_ig.mp4,16,8,38,28,12,21.564924114671165,0.0,0.152103
scottkress_halloween_dl.mp4,scottkress_wittiest_ig.mp4,16,44,14,28,12,22.740865654862283,0.0,0.064548
scottkress_halloween_dl.mp4,techtoday_sennheiserhd_ig.mp4,16,12,149,24,8,19.607644744238335,0.0,0.662491
scottkress_halloween_dl.mp4,techtoday_source_ig.mp4,16,474,44,26,10,21.465992130410342,0.0,0.193637
scottkress_halloween_dl.mp4,techtoday_waymo_ig.mp4,16,29,56,26,10,20.59921304103429,0.0,0.438395
scottkress_halloween_dl.mp4,ashley_korea_yt.mp4,16,81,0,30,14,24.711635750421586,0.0,0.02752
scottkress_halloween_dl.mp4,christxiee_forgetkylie_yt.mp4,16,152,20,26,10,21.425519955030918,0.0,0.334247
scottkress_halloween_dl.mp4,christxiee_rhode_yt.mp4,16,58,14,26,10,21.296233839235526,0.0,0.238684
scottkress_halloween_dl.mp4,scottkress_doordash_yt.mp4,16,63,12,30,14,22.635188308038224,0.0,0.115696
scottkress_halloween_dl.mp4,techtoday_freeram_yt.mp4,16,303,0,32,16,22.35975267003935,0.0,0.06855
scottkress_halloween_dl.mp4,techtoday_vivov70_yt.mp4,16,321,60,26,10,22.94547498594716,0.0,0.422368
scottkress_halloween_dl.mp4,ashley_3am_dl.mp4,18,93,28,28,10,22.70601461495222,0.0,0.123106
scottkress_halloween_dl.mp4,ashley_dior_dl.mp4,18,750,3,30,12,25.888701517706576,0.0,0.031525
scottkress_halloween_dl.mp4,ashley_newnamimatcha_dl.mp4,18,52,30,28,10,23.87745924676785,0.0,0.222721
scottkress_halloween_dl.mp4,ashley_source_dl.mp4,18,155,0,28,10,22.928611579539066,0.0,0.106086
scottkress_halloween_dl.mp4,colecharisma_stouffers_dl.mp4,18,1513,15,30,12,25.578414839797638,0.0,0.11008
scottkress_halloween_dl.mp4,scottkress_source_dl.mp4,18,55,24,28,10,24.187745924676786,0.0,0.098582
scottkress_halloween_dl.mp4,ashley_innisfree_ig.mp4,18,43,1,28,10,23.342327150084316,0.0,0.147108
scottkress_halloween_dl.mp4,ashley_newnamimatcha_ig.mp4,18,92,70,26,8,22.553119730185497,0.0,0.37477
scottkress_halloween_dl.mp4,ashley_source_ig.mp4,18,156,12,26,8,22.735244519392918,0.0,0.179641
scottkress_halloween_dl.mp4,ashley_youtubeolympics_ig.mp4,18,7,71,28,10,21.917931422147273,0.0,0.283302
scottkress_halloween_dl.mp4,colecharisma_oldnavy_ig.mp4,18,55,3,30,12,24.464305789769533,0.0,0.092441
scottkress_halloween_dl.mp4,colecharisma_pool_ig.mp4,18,19,3,28,10,22.602585722315908,0.0,0.120045
scottkress_halloween_dl.mp4,colecharisma_proctorgamble_ig.mp4,18,819,2,26,8,22.64193367060146,0.0,0.149628
scottkress_halloween_dl.mp4,colecharism_husbandcarry_ig.mp4,18,84,5,30,12,24.819561551433388,0.0,0.062561
scottkress_halloween_dl.mp4,nyadollie_newnars_ig.mp4,18,742,39,32,14,25.699831365935918,0.0,0.156124
scottkress_halloween_dl.mp4,nyadollie_tutorial10_18_ig.mp4,18,1491,41,30,12,24.66441821247892,0.0,0.163124
scottkress_halloween_dl.mp4,nyadollie_tutorial11_11_ig.mp4,18,12,9,32,14,26.18662169758291,0.0,0.106087
scottkress_halloween_dl.mp4,techtoday_vivov70_ig.mp4,18,0,85,24,6,21.02866779089376,0.0,0.552906
scottkress_halloween_dl.mp4,ashley_3am_yt.mp4,18,306,15,30,12,25.36930860033727,0.0,0.125607
scottkress_halloween_dl.mp4,christxiee_valentines_yt.mp4,18,54,5,28,10,23.397414277684092,0.0,0.214169
scottkress_halloween_dl.mp4,colecharisma_drivingtrend_yt.mp4,18,22,6,32,14,26.4283305227656,0.0,0.027518
scottkress_halloween_dl.mp4,colecharisma_oldnavy_yt.mp4,18,1170,12,30,12,24.67903316469927,0.0,0.057547
scottkress_halloween_dl.mp4,colecharisma_pool_yt.mp4,18,21,1,28,10,24.23159078133783,0.0,0.071547
scottkress_halloween_dl.mp4,scottkress_wittiest_yt.mp4,18,50,8,30,12,23.793142214727375,0.0,0.042027
scottkress_halloween_dl.mp4,techtoday_oppocloud_yt.mp4,18,92,8,30,12,24.93310848791456,0.0,0.035521
scottkress_halloween_dl.mp4,ashley_korea_dl.mp4,20,161,0,32,12,24.91849353569421,0.0,0.03103
scottkress_halloween_dl.mp4,ashley_namimatcha12_19_dl.mp4,20,54,1,32,12,27.534569983136592,0.0,0.027524
scottkress_halloween_dl.mp4,colecharisma_drivingtrend_dl.mp4,20,81,1,32,12,25.716694772344013,0.0,0.027518
scottkress_halloween_dl.mp4,colecharisma_husbandcarry_dl.mp4,20,170,3,34,14,26.866779089376053,0.0,0.027528
scottkress_halloween_dl.mp4,colecharisma_mgm_dl.mp4,20,1,4,28,8,24.65317594154019,0.0,0.073052
scottkress_halloween_dl.mp4,colecharisma_pool_dl.mp4,20,89,1,30,10,24.554243957279372,0.0,0.072059
scottkress_halloween_dl.mp4,colecharisma_source_dl.mp4,20,0,12,28,8,24.22709387296234,0.0,0.126091
scottkress_halloween_dl.mp4,scottkress_247_dl.mp4,20,313,2,36,16,28.403597526700395,0.0,0.031026
scottkress_halloween_dl.mp4,ashley_korea_ig.mp4,20,22,9,30,10,24.753232152894885,0.0,0.043025
scottkress_halloween_dl.mp4,christxiee_selenawaddle_ig.mp4,20,59,6,28,8,24.48903878583474,0.0,0.065557
scottkress_halloween_dl.mp4,nyadollie_murad_ig.mp4,20,43,21,30,10,25.926925238898257,0.0,0.111095
scottkress_halloween_dl.mp4,nyadollie_nyxcosmetics_ig.mp4,20,767,21,30,10,26.059584035975266,0.0,0.111585
scottkress_halloween_dl.mp4,nyadollie_source_ig.mp4,20,14,13,28,8,25.902192242833053,0.0,0.200161
scottkress_halloween_dl.mp4,scottkress_source_ig.mp4,20,24,32,30,10,24.11691961776279,0.0,0.167023
scottkress_halloween_dl.mp4,techtoday_oppacat_ig.mp4,20,0,9,32,12,24.54637436762226,0.0,0.058543
scottkress_halloween_dl.mp4,ashley_newnamimatcha_yt.mp4,20,54,59,28,8,24.821810005621135,0.0,0.22816
scottkress_halloween_dl.mp4,christxiee_selenawaddle_yt.mp4,20,1170,3,32,12,26.61045531197302,0.0,0.035523
scottkress_halloween_dl.mp4,colecharisma_husbandcarry_yt.mp4,20,101,6,36,16,29.34682405845981,0.0,0.035028
scottkress_halloween_dl.mp4,nyadollie_newnars_yt.mp4,20,783,17,32,12,26.623946037099493,0.0,0.08056
scottkress_halloween_dl.mp4,nyadollie_nyxcosmetics_yt.mp4,20,763,0,32,12,26.719505340078697,0.0,0.061549
scottkress_halloween_dl.mp4,ashley_homemadematcha_dl.mp4,22,101,0,38,16,30.503653738055085,0.0,0.030519
scottkress_halloween_dl.mp4,scottkress_roasting_ig.mp4,22,306,15,36,14,30.737492973580665,0.0,0.115595
