target_video_path,video,min_diff,min_target_frame,min_other_frame,max_diff,range,avg_diff,percent_close_under_10,comparison_seconds
scottkress_halloween_dl.mp4,scottkress_halloween_dl.mp4,0,0,0,32,32,2.8333333333333335,0.9,0.004518
scottkress_halloween_dl.mp4,scottkress_halloween_ig.mp4,12,485,16,36,24,21.933333333333334,0.0,0.004517
scottkress_halloween_dl.mp4,scottkress_doordash_dl.mp4,14,1159,31,32,18,22.083333333333332,0.0,0.003999
scottkress_halloween_dl.mp4,scottkress_halloween_yt.mp4,14,1551,53,34,20,19.934426229508198,0.0,0.004517
scottkress_halloween_dl.mp4,christxiee_rhode_yt.mp4,16,351,25,38,22,28.704,0.0,0.003506
scottkress_halloween_dl.mp4,ashley_namimatcha12_19_dl.mp4,18,90,0,34,16,26.923076923076923,0.0,0.005996
scottkress_halloween_dl.mp4,christxiee_forgetkylie_ig.mp4,18,3,0,38,20,29.53072625698324,0.0,0.004006
scottkress_halloween_dl.mp4,christxiee_rhode_ig.mp4,18,868,62,40,22,29.26984126984127,0.0,0.003999
scottkress_halloween_dl.mp4,scottkress_wheel_ig.mp4,18,459,32,36,18,27.072,0.0,0.004007
scottkress_halloween_dl.mp4,techtoday_freeram_ig.mp4,18,856,17,34,16,27.02857142857143,0.0,0.003999
scottkress_halloween_dl.mp4,techtoday_vivov70_ig.mp4,18,1171,117,40,22,30.045714285714286,0.0,0.004
scottkress_halloween_dl.mp4,ashley_3am_yt.mp4,18,65,2,40,22,30.246153846153845,0.0,0.003998
scottkress_halloween_dl.mp4,christxiee_forgetkylie_yt.mp4,18,3,0,40,22,29.154285714285713,0.0,0.004002
scottkress_halloween_dl.mp4,nyadollie_newnars_yt.mp4,18,989,23,38,20,27.70731707317073,0.0,0.003996
scottkress_halloween_dl.mp4,scottkress_doordash_yt.mp4,18,90,2,34,16,26.367346938775512,0.0,0.003517
scottkress_halloween_dl.mp4,scottkress_wheelgame_yt.mp4,18,483,34,36,18,27.53968253968254,0.0,0.004
scottkress_halloween_dl.mp4,ashley_3am_dl.mp4,20,281,10,36,16,28.285714285714285,0.0,0.005508
scottkress_halloween_dl.mp4,ashley_dior_dl.mp4,20,766,6,32,12,26.533333333333335,0.0,0.004014
scottkress_halloween_dl.mp4,ashley_newnamimatcha_dl.mp4,20,1074,71,38,18,30.050847457627118,0.0,0.005518
scottkress_halloween_dl.mp4,colecharisma_oldnavy_dl.mp4,20,315,5,36,16,28.285714285714285,0.0,0.004001
scottkress_halloween_dl.mp4,colecharisma_pool_dl.mp4,20,877,17,38,18,28.27777777777778,0.0,0.004521
scottkress_halloween_dl.mp4,colecharisma_source_dl.mp4,20,74,2,36,16,27.723076923076924,0.0,0.003997
scottkress_halloween_dl.mp4,scottkress_rio_dl.mp4,20,51,1,36,16,28.262295081967213,0.0,0.003999
