target_video_path,video,min_diff,min_target_frame,min_other_frame,max_diff,range,avg_diff,percent_close_under_8,comparison_seconds
scottkress_halloween_dl.mp4,scottkress_halloween_dl.mp4,0,0,0,0,0,0.0,1.0,0.007507
scottkress_halloween_dl.mp4,scottkress_doordash_dl.mp4,10,2,34,22,12,16.266666666666666,0.0,0.006
scottkress_halloween_dl.mp4,scottkress_halloween_ig.mp4,12,16,45,26,14,20.4,0.0,0.008011
scottkress_halloween_dl.mp4,scottkress_halloween_yt.mp4,12,16,46,26,14,19.0,0.0,0.007507
scottkress_halloween_dl.mp4,techtoday_sennheiserhd_ig.mp4,14,20,150,24,10,20.533333333333335,0.0,0.022013
scottkress_halloween_dl.mp4,christxiee_selenawaddle_yt.mp4,14,39,15,28,14,23.0,0.0,0.002
scottkress_halloween_dl.mp4,ashley_dior_dl.mp4,16,51,4,30,14,25.1,0.0,0.002
scottkress_halloween_dl.mp4,colecharisma_source_dl.mp4,16,3,52,26,10,21.966666666666665,0.0,0.008508
scottkress_halloween_dl.mp4,scottkress_247_dl.mp4,16,35,6,32,16,25.466666666666665,0.0,0.002
scottkress_halloween_dl.mp4,scottkress_wittiest_dl.mp4,16,24,14,28,12,22.133333333333333,0.0,0.002506
scottkress_halloween_dl.mp4,christxiee_covergirl_ig.mp4,16,7,5,24,8,20.033333333333335,0.0,0.010013
scottkress_halloween_dl.mp4,christxiee_valentines_ig.mp4,16,21,103,26,10,22.866666666666667,0.0,0.014013
scottkress_halloween_dl.mp4,scottkress_doordash_ig.mp4,16,14,25,30,14,22.166666666666668,0.0,0.006
scottkress_halloween_dl.mp4,techtoday_freeram_ig.mp4,16,12,17,28,12,23.066666666666666,0.0,0.004
scottkress_halloween_dl.mp4,ashley_newnamimatcha_yt.mp4,16,11,115,26,10,22.366666666666667,0.0,0.014506
scottkress_halloween_dl.mp4,techtoday_vivov70_yt.mp4,16,39,51,24,8,20.566666666666666,0.0,0.022014
scottkress_halloween_dl.mp4,ashley_3am_dl.mp4,18,45,19,26,8,22.133333333333333,0.0,0.008507
scottkress_halloween_dl.mp4,ashley_namimatcha12_19_dl.mp4,18,3,0,30,12,24.6,0.0,0.003
scottkress_halloween_dl.mp4,ashley_source_dl.mp4,18,3,17,26,8,23.433333333333334,0.0,0.006997
scottkress_halloween_dl.mp4,colecharisma_oldnavy_dl.mp4,18,4,10,26,8,23.466666666666665,0.0,0.003506
scottkress_halloween_dl.mp4,scottkress_rio_dl.mp4,18,3,1,26,8,22.433333333333334,0.0,0.007509
scottkress_halloween_dl.mp4,scottkress_source_dl.mp4,18,50,41,28,10,23.0,0.0,0.006506
scottkress_halloween_dl.mp4,scottkress_wheelgame_dl.mp4,18,58,23,28,10,23.2,0.0,0.016507
scottkress_halloween_dl.mp4,ashley_3am_ig.mp4,18,19,27,28,10,23.166666666666668,0.0,0.008001
