video,min_diff,min_target_frame,min_other_frame,max_diff,range,avg_diff,percent_close_under_8,comparison_seconds
scottkress_doordash_dl.mp4,12,0,20,26,14,14.533333333333333,0.0,0.002
scottkress_halloween_ig.mp4,12,6,11,20,8,16.533333333333335,0.0,0.003507
scottkress_rio_dl.mp4,14,1,20,26,12,21.533333333333335,0.0,0.001999
christxiee_source_ig.mp4,14,3,54,26,12,19.866666666666667,0.0,0.003
scottkress_halloween_yt.mp4,14,6,6,24,10,17.266666666666666,0.0,0.002001
scottkress_wheelgame_dl.mp4,16,1,14,26,10,20.6,0.0,0.004015
scottkress_wittiest_dl.mp4,16,14,2,30,14,23.666666666666668,0.0,0.0
christxiee_covergirl_ig.mp4,16,3,16,24,8,19.6,0.0,0.005001
christxiee_forgetkylie_ig.mp4,16,3,40,24,8,19.333333333333332,0.0,0.012063
christxiee_hourglass_ig.mp4,16,3,16,24,8,21.2,0.0,0.003999
scottkress_doordash_ig.mp4,16,3,31,26,10,21.2,0.0,0.002509
scottkress_wheel_ig.mp4,16,20,27,26,10,20.933333333333334,0.0,0.007
techtoday_sennheiserhd_ig.mp4,16,4,0,22,6,19.8,0.0,0.011515
techtoday_waymo_ig.mp4,16,15,56,24,8,20.8,0.0,0.007505
scottkress_wheelgame_yt.mp4,16,20,17,26,10,21.666666666666668,0.0,0.004001
techtoday_galaxys26_02_26_yt.mp4,16,14,5,24,8,21.266666666666666,0.0,0.004013
ashley_source_dl.mp4,18,17,0,28,10,23.133333333333333,0.0,0.000998
ashley_3am_ig.mp4,18,2,44,26,8,22.333333333333332,0.0,0.003998
ashley_innisfree_ig.mp4,18,2,1,28,10,23.133333333333333,0.0,0.002506
ashley_youtubeolympics_ig.mp4,18,21,41,26,8,22.066666666666666,0.0,0.003999
christxiee_rhode_ig.mp4,18,1,32,24,6,21.066666666666666,0.0,0.008509
christxiee_valentines_ig.mp4,18,18,61,24,6,21.4,0.0,0.007509
colecharisma_easterseals_ig.mp4,18,2,2,28,10,23.533333333333335,0.0,0.002997
colecharisma_proctorgamble_ig.mp4,18,14,2,26,8,22.8,0.0,0.002997
colecharisma_source_ig.mp4,18,11,9,26,8,22.8,0.0,0.003
colecharism_husbandcarry_ig.mp4,18,2,14,30,12,24.866666666666667,0.0,0.001001
nyadollie_supergoop_ig.mp4,18,7,38,26,8,22.533333333333335,0.0,0.003002
nyadollie_tutorial10_18_ig.mp4,18,25,41,26,8,24.466666666666665,0.0,0.003001
scottkress_roblox_ig.mp4,18,1,42,26,8,21.6,0.0,0.002
scottkress_wittiest_ig.mp4,18,26,10,26,8,22.8,0.0,0.001001
techtoday_freeram_ig.mp4,18,14,14,30,12,22.6,0.0,0.00151
techtoday_galaxys26_02_26_ig.mp4,18,6,8,24,6,20.066666666666666,0.0,0.006999
techtoday_source_ig.mp4,18,8,44,26,8,21.733333333333334,0.0,0.002998
techtoday_vivov70_ig.mp4,18,0,85,24,6,21.0,0.0,0.009514
christxiee_forgetkylie_yt.mp4,18,3,19,24,6,21.333333333333332,0.0,0.006504
christxiee_rhode_yt.mp4,18,1,16,24,6,21.4,0.0,0.004
ashley_3am_dl.mp4,20,5,8,28,8,22.933333333333334,0.0,0.003
ashley_korea_dl.mp4,20,8,2,30,10,24.533333333333335,0.0,0.0
ashley_newnamimatcha_dl.mp4,20,10,27,26,6,24.133333333333333,0.0,0.004008
colecharisma_oldnavy_dl.mp4,20,18,5,28,8,23.266666666666666,0.0,0.000997
colecharisma_source_dl.mp4,20,0,12,28,8,24.466666666666665,0.0,0.002074
colecharisma_stouffers_dl.mp4,20,26,15,30,10,25.733333333333334,0.0,0.002
scottkress_source_dl.mp4,20,18,2,26,6,24.2,0.0,0.002001
ashley_korea_ig.mp4,20,5,9,30,10,25.2,0.0,0.0
ashley_newnamimatcha_ig.mp4,20,12,48,26,6,22.533333333333335,0.0,0.007004
ashley_source_ig.mp4,20,5,2,26,6,22.6,0.0,0.003508
christxiee_selenawaddle_ig.mp4,20,24,6,28,8,24.4,0.0,0.001
colecharisma_drivingtrend_ig.mp4,20,1,8,28,8,23.066666666666666,0.0,0.001001
colecharisma_oldnavy_ig.mp4,20,0,6,28,8,24.333333333333332,0.0,0.00103
colecharisma_pool_ig.mp4,20,3,17,26,6,22.866666666666667,0.0,0.002002
nyadollie_newnars_ig.mp4,20,15,39,30,10,25.333333333333332,0.0,0.002999
scottkress_source_ig.mp4,20,4,0,28,8,24.2,0.0,0.003507
techtoday_oppacat_ig.mp4,20,0,9,30,10,24.466666666666665,0.0,0.001504
ashley_3am_yt.mp4,20,17,26,30,10,24.8,0.0,0.002001
ashley_korea_yt.mp4,20,2,4,28,8,24.466666666666665,0.0,0.0
ashley_newnamimatcha_yt.mp4,20,18,47,26,6,24.666666666666668,0.0,0.004002
christxiee_valentines_yt.mp4,20,18,26,26,6,23.8,0.0,0.004037
colecharisma_husbandcarry_yt.mp4,20,2,6,34,14,29.133333333333333,0.0,0.001002
colecharisma_oldnavy_yt.mp4,20,23,12,28,8,24.866666666666667,0.0,0.000998
colecharisma_pool_yt.mp4,20,12,1,28,8,24.333333333333332,0.0,0.001
nyadollie_tutorial11_11_yt.mp4,20,3,7,30,10,26.533333333333335,0.0,0.0
scottkress_doordash_yt.mp4,20,0,21,26,6,22.133333333333333,0.0,0.002507
scottkress_wittiest_yt.mp4,20,0,7,26,6,23.733333333333334,0.0,0.0
techtoday_freeram_yt.mp4,20,5,0,30,10,22.866666666666667,0.0,0.002
techtoday_vivov70_yt.mp4,20,18,52,26,6,22.866666666666667,0.0,0.006001
ashley_dior_dl.mp4,22,12,3,28,6,25.733333333333334,0.0,0.001003
ashley_namimatcha12_19_dl.mp4,22,2,0,32,10,27.6,0.0,0.001505
colecharisma_drivingtrend_dl.mp4,22,8,1,30,8,25.6,0.0,0.001
colecharisma_husbandcarry_dl.mp4,22,2,0,34,12,27.066666666666666,0.0,0.0
colecharisma_mgm_dl.mp4,22,0,4,28,6,24.866666666666667,0.0,0.002003
colecharisma_pool_dl.mp4,22,6,2,28,6,24.866666666666667,0.0,0.001001
scottkress_247_dl.mp4,22,5,2,34,12,28.066666666666666,0.0,0.0
nyadollie_murad_ig.mp4,22,2,12,30,8,25.866666666666667,0.0,0.00203
nyadollie_nyxcosmetics_ig.mp4,22,21,20,28,6,25.933333333333334,0.0,0.002003
nyadollie_source_ig.mp4,22,2,12,28,6,25.8,0.0,0.003503
nyadollie_tutorial11_11_ig.mp4,22,0,10,30,8,26.333333333333332,0.0,0.001999
christxiee_selenawaddle_yt.mp4,22,0,6,32,10,26.533333333333335,0.0,0.0
colecharisma_drivingtrend_yt.mp4,22,9,1,28,6,26.333333333333332,0.0,0.0
nyadollie_newnars_yt.mp4,22,0,20,30,8,26.066666666666666,0.0,0.002
techtoday_oppocloud_yt.mp4,22,2,1,28,6,25.266666666666666,0.0,0.0
ashley_homemadematcha_dl.mp4,24,25,5,38,14,30.466666666666665,0.0,0.0
nyadollie_nyxcosmetics_yt.mp4,24,0,7,30,6,26.6,0.0,0.001
scottkress_roasting_ig.mp4,26,2,29,34,8,30.4,0.0,0.001997
